ROM Checksum	RA Checksum	CRC	Filename
b8332b1e561b454a9d7007f6707c76c4	b8332b1e561b454a9d7007f6707c76c4	D21BF0AF	256 Color Demo by Bastian Schick (1997) (PD) [a1].lnx
82863a346c385777cc8d58959c866799	82863a346c385777cc8d58959c866799	17EA4AB0	256 Color Demo by Bastian Schick (1997) (PD).lnx
f34965577d30ec33b7792c22a62c62ce	f34965577d30ec33b7792c22a62c62ce	92CD034F	256 Color Mandelbrot Demo by Bastian Schick (1998) (PD) [a1].lnx
199b51c3207727d3401f4f47b6b673a1	199b51c3207727d3401f4f47b6b673a1	40780FFE	256 Color Mandelbrot Demo by Bastian Schick (1998) (PD).lnx
68f0e7447ed1671141ce6549b5c4c461	8ce6c739d30d6c5ba197fcdd73d5ead5	D6843E8E	Alien Vs Predator (Prototype) (1993) [!].lnx
73a439639e1e110a3917599b1d69bb69	ede3af766a19d1aaefd138a849ca251d	3160B73B	APB - All Points Bulletin (1990) [b1].lnx
c302613d0e837cab485ddcd8f4d8ea5e	b425941149874c6371c40e85cc5b6241	68A0ACAB	APB - All Points Bulletin (1990).lnx
24088bf882bc9710a786c150401078ad	119c00a2ba1f62141e6d745ec1518cc7	EE52BADD	Awesome Golf (1991) [b1].lnx
2cc518161199fe6b20864e7be2b77937	49d6eeb3c983246ff4d7034497f7095c	2B90E818	Awesome Golf (1991).lnx
ac85c5c2d4a65b865ccc189222827bdd	d13ddd6474ce3e7ab114f3e00dfb50a0	D9873C03	Baseball Heroes (1991) [b1].lnx
87dc5ba1ee5e502a0bb0d10007a08cf4	74ce568d22f010d4e10d66e5faada4b1	400989EA	Baseball Heroes (1991).lnx
b03b308882be1cea6539b1597f73140b	f19b95e4835c5fbc44b180dbd3f024fc	CF67513A	Basketbrawl (1992) [a1].lnx
92bdaba4a7ebe59ebcd9d18825c67459	90ac59bd0d606d983c5bd8bd8518e952	DA9BBE68	Basketbrawl (1992) [b1].lnx
675928b7957be8e4d81242bc946015ce	8750ce92d816e18341d8d1b5d2509d11	A41B3D47	Basketbrawl (1992).lnx
e26c4c71889359f8439a94c21780d497	95ca4ccf232974e8fd6eed7a6bdb2de0	6F161065	Batman Returns (1992) [b1].lnx
56be8a61dc7c50eda6cb017e20c0696d	6e9bbff3c7b66d3ec0411ffbe0e41dfd	68CD6DCB	Batman Returns (1992).lnx
73d1b5dec3cf73ccd46e81c6f0fe3661	7f0958804c30a188e73815d0d826b55d	DB45D5C4	Battle Wheels (1993) (Beyond Games) [o1].lnx
baf2b2e8eeaa5d947b92f9543a7749f7	fddecd756abe5eaf613ca1db31d51df7	57EFFF37	Battle Wheels (1993).lnx
143a3013a131100f7631958ef9d154b5	d405ea54b77390b06222f9dac7cea827	E3AF09CE	Battlezone 2000 (1996).lnx
c64d5ab182a7e31646ed4bef4e375bdc	c0c6a61547721e6cd4586096a9b00270	92E517BE	Bill & Ted's Excellent Adventure (1991) [b1].lnx
b9a1562c7e04791f175acdac96f79b33	87dff4f4d5e1e4a7132d19f94d4e9b3a	C91AFF8A	Bill & Ted's Excellent Adventure (1991).lnx
14a023f0f705ea3bb4f0ec1bca872041	3b5513380010f1b86ce479e54ea9b5c2	F2DA1756	Block Out (1990) [o1].lnx
465681114455a67309022a4d4541e256	c81abf2919effd525b83c2103b75e6ca	C96E5BC6	Block Out (1990).lnx
05cd2a0b3318af3fca8fea6b4d29d988	6ea4f72180c9e56e951f60d4ad563b56	0782722A	Blue Lightning (1989) [a1].lnx
422acf7338904b408cf60a1f7ecb4576	f7b4775771bc25d9053af5c69a8c8b2a	35AF173C	Blue Lightning (1989).lnx
c376419b23399e0bf47419dea930edb2	37815a4235158be909d7bd896614525b	6CE4B9B0	Blue Lightning Demo (1989) [o1].lnx
2f51ac2d255a97811da99969605a04ec	7c3cb287de2d9f67ff342b4e42592732	0BD1B69C	Blue Lightning Demo (1989).lnx
6befa8796a5f06c7f90e9001b1638ea7	6befa8796a5f06c7f90e9001b1638ea7	07A759C0	Boing Demo (199x) (PD) [a1].lnx
ea123cfb60e8c33272db4bfa066f99ed	ea123cfb60e8c33272db4bfa066f99ed	B8965E6E	Boing Demo (199x) (PD) [a2].lnx
a2bc3ddac1d4b382269915eb0b2a40eb	a2bc3ddac1d4b382269915eb0b2a40eb	3E713A77	Boing Demo (199x) (PD) [a3].lnx
e2254f62e81b759d06e34f0a6a487388	e2254f62e81b759d06e34f0a6a487388	A4EB2F3C	Boing Demo (199x) (PD).lnx
9f92d80585dfe4f2c4b943c9c695b832	9f92d80585dfe4f2c4b943c9c695b832	FD415F22	BRK Server Installer by Bastian Schick (1996) (PD) [a1].lnx
c71bc1fc599311acd80cf28428c7d6ca	c71bc1fc599311acd80cf28428c7d6ca	7B6D81FD	BRK Server Installer by Bastian Schick (1996) (PD).lnx
93c0a39fdaa75977030e62d6b60a5e07	93c0a39fdaa75977030e62d6b60a5e07	44C347A5	Bubble Bobble V.2 Demo (199x) (PD).lnx
215b26ab70d1173a3049613a9205b65d	90841f8fed54862f8a8750ddf212eb84	F85D0806	Bubble Trouble (1997) (Telegames).lnx
7d0b2c06d2b36d20ea319ea5a04b7ba3	7d0b2c06d2b36d20ea319ea5a04b7ba3	BA786C13	C65 - Demo0 (1998) (PD) [a1].lnx
c050363fa2ee06a5a86ba9f1bc9cbc03	c050363fa2ee06a5a86ba9f1bc9cbc03	59D96E27	C65 - Demo0 (1998) (PD).lnx
f57f6923f7ea736fbaf6ceb337871bde	f57f6923f7ea736fbaf6ceb337871bde	30668C3E	C65 - Demo1 (1998) (PD) [a1].lnx
3c6a2f6cff115adc391c6c8b6682f1f8	3c6a2f6cff115adc391c6c8b6682f1f8	8515B16B	C65 - Demo1 (1998) (PD).lnx
5acb049f142a5f615241c2b454f5b4ff	5acb049f142a5f615241c2b454f5b4ff	C792D523	C65 - Demo2 (1998) (PD) [a1].lnx
b6ab41c5edbf74eaec15cf704f03fe9a	b6ab41c5edbf74eaec15cf704f03fe9a	CC105FB5	C65 - Demo2 (1998) (PD).lnx
fc634c8d8b004b46c8916bd0f5d3e429	fc634c8d8b004b46c8916bd0f5d3e429	BBBA65AF	C65 - Demo3 (1998) (PD) [a1].lnx
07077f05131ac980e707e24b9616dc01	07077f05131ac980e707e24b9616dc01	504F77C0	C65 - Demo3 (1998) (PD).lnx
25f0e73f9984e29452ea605784b6f73a	25f0e73f9984e29452ea605784b6f73a	AFC27C28	C65 - Gfxtest (1998) (PD) [a1].lnx
dd32f06433c3da254f20a65e2c4d0ba7	dd32f06433c3da254f20a65e2c4d0ba7	9AB066B0	C65 - GFXTest (1998) (PD).lnx
0b24c5fca67cecf480b97c7fb8781474	0b24c5fca67cecf480b97c7fb8781474	DFE7890F	C65 - Mandelbrot (1998) (PD) [a1].lnx
ee0d9ce968d26e73b0c9759e60ba7f1f	ee0d9ce968d26e73b0c9759e60ba7f1f	0762EED4	C65 - Mandelbrot (1998) (PD).lnx
c817790e3118fce2a453ebc2490c9868	c817790e3118fce2a453ebc2490c9868	BAFFB021	C65 - Mazedemo (1998) (PD) [a1].lnx
368bdbd25be127869ec2ba91d741d4be	368bdbd25be127869ec2ba91d741d4be	71F93C64	C65 - Mazedemo (1998) (PD).lnx
b4b90fa1da835e62a307a56c77c6b96d	b4b90fa1da835e62a307a56c77c6b96d	6FDFCC7B	C65 - Minimal (1998) (PD) [a1].lnx
e57369d6bf746fb85672b7eeffc75106	e57369d6bf746fb85672b7eeffc75106	0DB6AF52	C65 - Minimal (1998) (PD).lnx
e7f86e86c68403924068bc2228a7310e	e7f86e86c68403924068bc2228a7310e	D80D99C3	C65 - Sprite (1998) (PD) [a1].lnx
5bcb0729ef37d0ee2e877fedc2a6b518	5bcb0729ef37d0ee2e877fedc2a6b518	1D00C38F	C65 - Sprite (1998) (PD).lnx
a10e4cca882f26fcead522feec71b174	35171d5d603020742ea5a8162fa053f6	0CE53B00	California Games (1991) [o1].lnx
35a63e6ff2516c670fa6e72baf57f9ab	73e02bb77dcf857a6578f0e24b4ecb9e	DA7D96FD	California Games (1991).lnx
b21e40aad8aa53d00ea49ad416d2f8b9	b21e40aad8aa53d00ea49ad416d2f8b9	15088D30	Cartshow by Matthias Domin (1998) (PD).lnx
efe5694b21ef434e32532faf451d4601	13cb869b95c67c532efdd0e924e37299	70CC4AE8	Centipede (Prototype) (1987) (Shadowsoft).lnx
e415815445136eb5ff93bdcde09e9d84	e415815445136eb5ff93bdcde09e9d84	8D29FBF3	Check EEPROM by Bastian Schick (1996) (PD) [a1].lnx
be51f71a14169da1077348b16827f5ba	be51f71a14169da1077348b16827f5ba	81547C50	Check EEPROM by Bastian Schick (1996) (PD).lnx
da3ed25975cdfac1bc22c74ded5e14d3	ec6d6350eb4ccb47f859c7b4722dfc73	A9C64AA1	Checkered Flag (1991) [b1].lnx
49c610118a514690a42a4c9567e610c1	85b33c5e5985ab041ecc44555a8cfb42	6687F846	Checkered Flag (1991).lnx
f1e803c97778a18e2c4ff6be6bd92a28	5fe245c4104ba7fd41a17b3a2d3d4204	D49CE27A	Chip8 Emulator Release 1 (2004) (PD).lnx
3c2538149da3cd1bbe2b45d001a7b813	24611d1445ebd34ab79fb0ae996ff4e4	4BECC50C	Chip8 Emulator Release 2 (2004) (PD).lnx
53fb2b314e9eba49b8df651848719c3e	f1e803c97778a18e2c4ff6be6bd92a28	171CB01E	Chip8 Emulator Release 3 (2004) (PD).lnx
393ab481b650836b5804953d9879736e	3c2538149da3cd1bbe2b45d001a7b813	FF35E5AE	Chip8 Emulator Release 4 (2004) (PD).lnx
