ROM Checksum	RA Checksum	CRC	Filename
e27526793d0af4df230343dac116a4cb	a54352d00846c9db42699eb49f74009c	986C6034	3d Demo (PD).o
537766d9225add6cf2c9a1081211a1f3	61f60d57a4f7f5b935e678221318ddd8	D769115F	3d Demo 06-2003.lnx
14587335ffc1149ee9102cb7bf7a110b	6d9a6d82dfea445b09065ebd33b9c679	8EE6FB51	80's Neon Nights by Sampo.o
61f60d57a4f7f5b935e678221318ddd8	1a82f266b1cc459c5d4e89847b82ae3a	6169B53F	2001.o
a54352d00846c9db42699eb49f74009c	e27526793d0af4df230343dac116a4cb	41473852	2001_V2.o
6d9a6d82dfea445b09065ebd33b9c679	b453ff03d332c7982dcafc5ea96c686e	2F5C3E31	2048 [a].o
1a82f266b1cc459c5d4e89847b82ae3a	14587335ffc1149ee9102cb7bf7a110b	CFF80A66	2048.o
710fa993f21930b96cf0403c62c6bfe7	88ab4af5efc1ace2aa4ce35f6395cdde	6484AD99	A Bug's Lynx (DoctorY, Rygar & Fadest)(2009-04-20 release date).lnx
d78290ab809c9b0e5789869750358aa3	d78290ab809c9b0e5789869750358aa3	07035D30	A Bug's Lynx (DoctorY, Rygar & Fadest)(2009-04-20 release date).lyx
3ca1d2e639e469b1df7dcdc8cc6338af	3ca1d2e639e469b1df7dcdc8cc6338af	0808D8D7	A Bug's Lynx (DoctorY, Rygar & Fadest)(2009-04-20 release date).o
b425941149874c6371c40e85cc5b6241	b425941149874c6371c40e85cc5b6241	F6FB48FB	a.p.b. - all points bulletin (euro, usa).lyx
8b6c16f1911941bee151479b2558da9b	8b6c16f1911941bee151479b2558da9b	2116E42F	abc music creator.o
ddb931aa015b760b29e0533ed230d992	ddb931aa015b760b29e0533ed230d992	313198FE	abtest0.bin.o
aa017af9ba512056210e76d880a7c953	21f50cb7efdbbb978ac47ac117ad4692	D559CB0B	ac2016.lnx
35b1bc9ef7a268d8a8b358b02d68272a	b41771c74b11359ae7fd3be6692709aa	42E4C839	Adventure (coded by LX).lnx
e4276667cfe27a4a475c7311f8f6ab10	635f6678ab71a6f227dfa762ffb10949	F0BA55FB	Alien v0.1.lnx
9d7adb5bb6dc651160c92e7eb49fbbda	01e5ae83f75778c18426a36b39b3a14e	BF28B67E	Alien v0.2.lnx
fb39bac6aaab8b3c6e001b7e2e71d6c5	4a1bffcd9e56e1c85d65f958b0512938	DB8E3D4D	Alien v0.3.lnx
f980788eec13f40b051f2a15dc118570	69c6ca7870d068241a3341b41ea403d9	64EFF577	Alien v0.8.lnx
a49ee17d2c6212051581ba64caf087c5	3f11051b57e83801b5c874d76bdaa922	DADC0692	Alien v0.91.lnx
9b51db0b7532e23945c5adcd2e238b25	663b3b81609b6c77500a7fc592c77a58	1F324A19	Alien v1.02.lnx
8ce6c739d30d6c5ba197fcdd73d5ead5	8ce6c739d30d6c5ba197fcdd73d5ead5	540E9BB7	Alien Vs Predator (1994)(Images)(proto).lyx
186dc0495686430f2f4c690785d52854	f243fb465959a70f259f4333de8222a6	A6BD9B4A	AlleIn Demo (2013)(De).lnx
43c17ac1ec4dd445eea34f76e19ef557	43c17ac1ec4dd445eea34f76e19ef557	D0177377	Anti A-Bomb Aircraft Artillery (2005)(Sampo).o
1640981bc7b4ccb770bf13374f5257af	1640981bc7b4ccb770bf13374f5257af	056DD316	aqualynx test.o
07c8310c5ce9ef5f51836782c639e9d5	07c8310c5ce9ef5f51836782c639e9d5	B275877C	arkanoid alpha test.o
44ae38879ea4c34efd5b6540aba60502	2f160ce0bca6e38816299733e4e7c3fe	6CE7D8E2	Artillery.lnx
83903beea0b80440f8ecfe9fbd1a621b	83903beea0b80440f8ecfe9fbd1a621b	3FC822A8	Atari Lynx Forever demo.lnx
583141af90c90ab9e5f1911d1a1c50d9	c4dcdd4a1470ea0b01a0e59f50c88e08	E923CCED	Atari LYNX Simpsons Music Generator demo [LNX].lnx
c4dcdd4a1470ea0b01a0e59f50c88e08	c4dcdd4a1470ea0b01a0e59f50c88e08	CBABECC4	Atari LYNX Simpsons Music Generator Demo.lyx
f72beb4c2c0a740e944867c36dff6f7f	ae163d73e4aa21f362c5c0ab2ba4010f	904BA764	atomix (2006)(Cooper).lnx
ad83ba9327191d1601b891d899769c51	ad83ba9327191d1601b891d899769c51	3719F78D	ATTACK 02-2007.o
c907890ec94f7dd329d95f14f1e7909d	c907890ec94f7dd329d95f14f1e7909d	C0383178	Attack.o
49d6eeb3c983246ff4d7034497f7095c	49d6eeb3c983246ff4d7034497f7095c	0483CD2A	awesome golf (euro, usa).lyx
f0dc4b99fbe81f280876ddfcd0c775aa	f0dc4b99fbe81f280876ddfcd0c775aa	3E628845	bali2_pal_8_83.o
1b50eff99209bac2423209faca1e032c	1b50eff99209bac2423209faca1e032c	0653F8DF	bars (2007)(Cooper).o
84f770cad3205efa6448aff59e19fda4	8c9a72ddbb5559293862684ec67bfa92	BB5DE237	Baseball Heroes (1992)(Atari)(USA, Europe).lnx
f19b95e4835c5fbc44b180dbd3f024fc	f19b95e4835c5fbc44b180dbd3f024fc	4161BB4A	basketbrawl (euro, usa).lyx
6e9bbff3c7b66d3ec0411ffbe0e41dfd	6e9bbff3c7b66d3ec0411ffbe0e41dfd	277F82C2	batman returns (euro, usa).lyx
fddecd756abe5eaf613ca1db31d51df7	fddecd756abe5eaf613ca1db31d51df7	779FAECE	battle wheels (euro, usa).lyx
d405ea54b77390b06222f9dac7cea827	ea7e7f49a9e004049ae9c836d36aabe6	30FEE726	BATTLEZONE 2000.lyx
d1b9db915239fd579a439a165818a3e2	d405ea54b77390b06222f9dac7cea827	D2AF3658	Battlezone 2000_the_real_one.lnx
f4547e273fe5ee94a98efe88ca48b16e	80b2fa2eaf3ccf777a5cc4dae99cd3f5	92E514B5	Battling Chimera Taquin.lnx
429cb40758df6ac646b7c4b81221beb7	8c9a72ddbb5559293862684ec67bfa92	F8EF4AB3	bbh.lnx
0c19945c478e8629b92d64e075d225a1	0c19945c478e8629b92d64e075d225a1	A5244636	Befok (20021012) by Jum Hig (PD).o
6f1f15fc0b4849987c0343036a11db32	6f1f15fc0b4849987c0343036a11db32	9C1C70D2	Befok by Jum High (PD).o
87dff4f4d5e1e4a7132d19f94d4e9b3a	87dff4f4d5e1e4a7132d19f94d4e9b3a	143A313E	bill & ted's excellent adventure (euro, usa).lyx
423951c6ab079a3ffb5f80a0307a4970	423951c6ab079a3ffb5f80a0307a4970	A716DF9E	Bitchy XXX demo.o
23159fbf25e766152befb6cf160a36b6	23159fbf25e766152befb6cf160a36b6	240FCB90	Bll - My Broken Setup... Help! (Bll) (2009.08.07 18.14) (Play Smp).lyx
2cc350accf428bf1fb4a134327278ca1	2cc350accf428bf1fb4a134327278ca1	D86C8F1A	Bll - My Broken Setup... Help! (Bll) (2009.08.07 18.14) (Playsmp1).lyx
a340c2839bc3d1754b1fe4f7c4337e34	a340c2839bc3d1754b1fe4f7c4337e34	378A71B6	Bll - My Broken Setup... Help! (Bll) (2009.08.07 18.14) (Playsmp2).lyx
91428278d908424dad9068d8a726ce66	91428278d908424dad9068d8a726ce66	FCCFFFC1	Bll - My Broken Setup... Help! (Bll) (2009.08.07 18.14).lyx
1d6fa0cff1bd3cfa3bc88e4815caca75	1d6fa0cff1bd3cfa3bc88e4815caca75	673BE337	Bll - My Broken Setup... Help! (Project) (2009.08.07 18.15).lyx
2c8c22e2b520561b474453a93a4f37ee	2c8c22e2b520561b474453a93a4f37ee	E2A7F03B	Bll - My Broken Setup... Help! (Win 32) (2009.08.07 18.13) (Modtest).o
f8fffd6ba10b737311dcd8f06d1791ed	f8fffd6ba10b737311dcd8f06d1791ed	AF898B7B	Bll - My Broken Setup... Help! (Win 32) (2009.08.07 18.13) (Raiden).o
1d820375c65e1b5fd9ab3847425da29e	1d820375c65e1b5fd9ab3847425da29e	E89A03C5	blob.o
495ae3e3a680e4d717f3a3c275fb463d	495ae3e3a680e4d717f3a3c275fb463d	5B27F58A	block colors demo.lnx
c81abf2919effd525b83c2103b75e6ca	c81abf2919effd525b83c2103b75e6ca	3CD75DF3	Block Out (USA, Europe).lyx
d2d09c710f919f8ba9447fa2c3b3918c	3c164637418f98fb303c26ac1f31cbb3	A6402B7E	Blocks That Matter demo.lnx
f7b4775771bc25d9053af5c69a8c8b2a	f7b4775771bc25d9053af5c69a8c8b2a	DAF587B1	blue lightning (euro, usa).lyx
7c3cb287de2d9f67ff342b4e42592732	7c3cb287de2d9f67ff342b4e42592732	BFE36525	BLUE LIGHTNING DEALER DEMO.lyx
3a697a28bdf5ed4a3b5a286138f39ad6	3a697a28bdf5ed4a3b5a286138f39ad6	4751D420	bobo (2007)(Cooper).o
4a46c937263785a664159def05b04c22	ee88dcbaa356f5968fc5fc22907fa05a	58E8CBAA	boing.lnx
c0d3a15c6cb436396b1a0bbf3c139568	06f9cc6ed7b4c91558adfccb197a5864	6A01572D	boing2.lnx
cccb841062004768964f983019a1e4cf	e1a305d6c62d3032c2de74c812e2d53f	5585C560	bombnbass.lnx
7cb5d72969d47da150ecb78ccf6e7aef	7cb5d72969d47da150ecb78ccf6e7aef	C61B957C	Booster (2005) (jum).o
7849a21194572f6374d50ba52f43155f	7849a21194572f6374d50ba52f43155f	F6FB519C	Booster (WIP 2005-12-28).o
d308bb3e4822532e4fe8e7d9a3e4c81c	d308bb3e4822532e4fe8e7d9a3e4c81c	FEB0D882	booster_01.o
63a56d689b485df8c8269faf908611b0	63a56d689b485df8c8269faf908611b0	DAD8720B	booster_03.o
