rom	md5	crc	v14
'89 Dennou Kyuusei Uranai (Japan).nes	2189fe12c20e4ae71b84719f47377972	EBB1AA05	4187a797e33bc96a96993220da6f09f7
10-Yard Fight (Japan).nes	ad5c1baaecf9e7201ece0214b898f885	08F0D1BD	97bd1a271cba9f27d64ce2affc2f6aa5
10-Yard Fight (USA, Europe).nes	8caac792d5567da81e6846dbda833a57	C38B62CB	2c2c42f54ccc30e17943979b3cc4f491
1942 (Japan, USA).nes	4f90905fd77c1c9456bd5dfe1ceddc34	E9CF747F	5e1135b9a0504fd551cb11c36cadcad9
1943 - The Battle of Midway (USA).nes	deeaf9d51fc3f13f11f8e1a65553061a	D131BF15	190d10a3685f87ba32135ac595283f36
1943 - The Battle of Valhalla (Japan).nes	cf5e791a2032ba3160ae578bc27ffa8e	8DB59BE8	f3a8822ec4ad196348d6c959289d34e1
1991 Du Ma Racing (Asia) (Unl).nes	b181f158f60250fb81bbf0a2460c8b6a	8CD7F9B1	b7a49d2696ce051f8ebaac850dc26509
1999 - Hore, Mitakotoka! Seikimatsu (Japan).nes	23d338cd00195316c8802b3e90154e8e	0CFB250F	865e8bb781033946bbccaf6712ba5ceb
2010 - Street Fighter (Japan).nes	d39c9262a82a3a38e4967e01717c1a9f	323B8D22	df3b02573f5e80eeb920082a0e61f8e8
3-D Block (Asia) (RCM Group) (Unl).nes	fd7730422090a9bcc039c57a5ef9e5a9	A760EEEB	169e7469ccb1c0d2afaa8c2e7279bd8b
3-D WorldRunner (USA).nes	5a5ace7fa14af00433c4a40e90442762	D5ADA486	29e5e1a5f8b400773ef9d959044456b2
4 Nin Uchi Mahjong (Japan) (Rev A).nes	50a2a13fc9c4809e348a2c59afdd28e5	E6A38F26	2fcf44cf3026daf01918bd72cc39c08e
4 Nin Uchi Mahjong (Japan).nes	aad2019ff0ccdf5bf71390f76e7a13d1	BB0C8B3E	e118abe98c859473c42737f602fda183
720 Degrees (USA).nes	448431d360ac64bfb9332cb261775307	9B37D149	bb9f640237a953b4753df9d2a8dc31b3
8 Eyes (Japan).nes	4e0af17f6a4791b629f63a2390ba6ddf	D24639E3	b22ddfdf9f56abb1f4d029b41bf0cd68
8 Eyes (USA).nes	0d3ddb15fb94c7c663062c9bbf804299	18F9BB24	e4c062be220d5b00c82371d8f7b9679e
A Ressha de Ikou (Japan).nes	eef6577471c300c86f8e67be96bb6f15	58FE5467	349484754c6dcab72363ea70b82d768d
Aa Yakyuu Jinsei Icchokusen (Japan).nes	5d26cd0c5dce8941a6e93b709636f50e	310C0EE7	8f2cd810c1b19c75d8b69b248462a8d3
Abadox (Japan).nes	7aed513c8be0520e4199441b551d22b4	797E7640	d2f0674966acb1309504123226854d3e
Abadox - The Deadly Inner War (USA).nes	c096127c895bb7904c810007119a0225	DC87F63D	d016fc9c56f1e78ff28aa7c4a37af2f7
Abarenbou Tengu (Japan).nes	6a10ba726ebd3d5fff2d203295eee35d	E6E94558	96947bcc4ead3200c4aff4a68f387ea8
Aces - Iron Eagle 3 (Japan).nes	54f99caace60ebc2fb2e46cd90f11b47	1CF96EFF	328278537f5cedd45e82e9713a0c20e8
Action in New York (Europe).nes	2cb0aa64636440b4f26c8defe44c8125	5773A224	171f36ed5a8a5dd062d7958d68f0bedb
Addams Family, The (USA).nes	186023fd956cb560706817a96b7bdfa4	08E2AF80	9627ba5d8a163e89c529794f85b58e05
Addams Family, The - Pugsley's Scavenger Hunt (USA).nes	b8444488249ef5bffcb8136196e0ebad	6B8D777D	df7730893499c1f119367404f317daf9
Advanced Dungeons & Dragons - Dragons of Flame (Japan).nes	b82b665aefbbd5f4c633174df44ca051	8BA5DE24	ee3c07213a6eb7587642be2ba2de961a
Advanced Dungeons & Dragons - DragonStrike (USA).nes	75869f905c1f78544c65946bba32aa40	4C87CDDE	971fcd4015e8d1898f548466d8e0d566
Advanced Dungeons & Dragons - Heroes of the Lance (USA).nes	01d8a23d55fdd23b0f5c97b8dfb1e81a	E880D426	69728cd495374da64af4aee7b6f6191c
Advanced Dungeons & Dragons - Hillsfar (USA).nes	7cbee7c5785980c390e2ad5488f68f72	3849D0EE	b1c2df446373777bb72ee2337ced5792
Advanced Dungeons & Dragons - Pool of Radiance (USA).nes	2e859da9e7ba7c69580f1af8b459887a	BBEA8D23	0413da04043b347115e0d806894afedb
Adventure Island 3 (USA).nes	f15d5835041c4b28b98b9551fb3ce764	952CDACF	f225fe0764940b3a17df071104f63e1d
Adventure Island Classic (Europe).nes	d35723ce47a3b9a8d6d55ad31d9c3b6b	C9AD622C	74eb229812128cdfdc52736972fb20de
Adventure Island II (USA).nes	da01f528959b065acbfed341e892d9c0	5D8F80C7	31b114d7b47732f2e08e7d09e7bc3e22
Adventures in the Magic Kingdom (Europe).nes	279d13cf870609100418b2727b7e93af	06C53976	098c0725272db9af1a16f2bba1e3adfb
Adventures in the Magic Kingdom (USA).nes	8839403a475c128e5bb0b1f1a5059352	300E41B7	13ad0c02d156a62eb8a05add6a35e0ab
Adventures of Bayou Billy, The (Europe).nes	260af8fea7d08d5e20be9ae336183af2	D128DEE5	1cfe0023ba4b5d3e1fdbadd5d2514af1
Adventures of Bayou Billy, The (USA).nes	fadd166217e75f3759a5cb7af213734a	0AC631BA	e6f2d06e27c12beb165053c66651bda6
Adventures of Dino Riki (USA).nes	cfa4b1475a25918ced2efd63972d3411	D4F5287B	bfb9aafcba26436b17f9a046aa4076a6
Adventures of Dr. Franken, The (USA) (Proto).nes	785f73e9dcb0c7635669a6b207004280	8.07E+89	8d0b1de993d1ea08b27068223b63fbba
Adventures of Gilligan's Island, The (USA).nes	4b5e5deac2de9ecb403231d128b42f3e	667EEBB4	f1b2b46f62705a96409e0754f5a309b9
Adventures of Lolo (Japan).nes	22c27eda6bb0cd2dfebc7c2e48387ad8	B6C9F83F	84fc07c72b7f37c1b9a5a957454171c0
Adventures of Lolo (USA).nes	72a5692523ad5ab51cf2272a06d669d0	D9C4CBF7	48470308703aef28269dc583bcfd5caa
Adventures of Lolo 2 (Europe).nes	3c8a015fced9256b211f342c724a3e20	1A878E22	df12f097d567cf6b682631e95cf5ecb4
Adventures of Lolo 2 (Japan).nes	694a1bfa61af8a29dccbcdabd68caa84	870A1DD5	de8ad14372e350bd69e79f90d7c02766
Adventures of Lolo 2 (USA).nes	0f8eac497adc07858685b8e84e59a56b	862AB1E5	9c1d74f31b66b89fa7852eccb3858397
Adventures of Lolo 3 (Europe).nes	5b01f020d0981ffc178b7b2589fae53b	5A8A50BA	a58eac056a003f352bc9fb01248520cf
Adventures of Lolo 3 (USA).nes	3dc676f6a0d1e400bb4e1bf908e4c46a	E06A060B	3a908031aa0e30b2122e9468b96ead85
Adventures of Rocky and Bullwinkle and Friends, The (USA).nes	61f71ce15d3ceb2b91521214771dff2a	08EFFDE5	60610e51bd6cd8671ff2d3f4000dc360
